Neighborhood,Latitude,Longitude
"►  Agara, Bangalore‎ (2 C,  7 F)",12.841272755642173,77.48159794529579
►  Arekere‎ (5 F),12.997990005183027,77.61046999022852
"►  Banashankari‎ (1 C,  4 F)",12.938740000000053,77.55509000000006
►  Banaswadi‎ (2 F),12.997840011025701,77.61036999412363
"►  Basavanagudi‎ (5 C,  11 F)",12.938980000000072,77.57137000000006
"►  Begur, Bangalore‎ (1 C,  6 F)",12.882450000000063,77.62475000000006
"►  Bellandur‎ (1 C,  5 F)",12.927340000000072,77.67169000000007
"►  Bengaluru Pete‎ (9 C,  4 F)",12.966180000000065,77.58690000000007
"►  Bidadi‎ (2 C,  2 F)",13.002659982537224,77.62949003727618
►  Bommasandra‎ (33 F),12.817530000000033,77.67879000000005
"►  Brigade Road, Bangalore‎ (3 C,  9 F)",12.966234036390167,77.60681984212124
►  Chandapura‎ (4 F),12.802819988132839,77.70460999463899
"►  Devanahalli‎ (5 C,  1 F)",12.987949993921418,77.6065900072486
►  Dhobi Ghat (Bangalore)‎ (3 F),12.99787001823907,77.61040000133698
"►  Domlur‎ (5 C,  30 F)",12.96021000154326,77.64883002156802
"►  Electronics City‎ (2 C,  34 F)",12.890069984314067,77.63962996082364
"►  Fraser Town, Bangalore‎ (1 C,  10 F)",12.998369998763494,77.61070996411644
"►  Girinagar‎ (1 C,  11 F)",12.942790000000059,77.54122000000007
"►  HBR Layout‎ (1 C,  1 F)",13.047449981350198,77.63327999861599
"►  Hebbal‎ (2 C,  3 F)",13.049810000000036,77.58903000000004
►  Hosakote‎ (1 C),12.957450008465656,77.60091001056179
"►  HSR Layout‎ (1 C,  12 F)",12.912220000000048,77.64470000000006
"►  Indiranagar‎ (4 C,  12 F)",12.978220000000022,77.63397000000003
►  Ittamadu‎ (3 F),12.99787001823907,77.61040000133698
"►  J. P. Nagar‎ (2 C,  1 F)",12.908310000000029,77.59024000000005
"►  Jakkur‎ (2 C,  1 F)",13.075640000000021,77.60394000000008
"►  Jayanagar, Bangalore‎ (1 C,  34 F)",12.96161005178542,77.59772509690268
►  Jeevanbheemanagar‎ (3 F),12.967770017202838,77.65378003830733
►  Kettohalli‎ (1 C),12.957450008465656,77.60091001056179
"►  Kodihalli, Bangalore‎ (1 C,  4 F)",13.059759839019206,77.57673008884595
►  Konanakunte‎ (1 F),12.890409996216377,77.56175998484798
"►  Koramangala‎ (1 C,  13 F)",12.95656001798649,77.54385003705687
"►  Krishnarajapura‎ (3 C,  4 F)",13.000390000000039,77.68368000000004
►  Kundalahalli‎ (96 F),12.967520000000036,77.71500000000003
"►  Madiwala‎ (1 C,  6 F)",12.956610016038923,77.61355000436936
"►  Magadi‎ (2 C,  11 F)",12.986209994641229,77.51441002707668
►  Mahadevapura‎ (2 C),13.002659982537224,77.62949003727618
►  Majestic (Bangalore)‎ (1 C),12.957450008465656,77.60091001056179
"►  Malleswaram‎ (4 C,  3 F)",12.995000000000061,77.57346000000007
"►  Marathahalli‎ (8 C, 1 P, 30 F)",12.954660000000047,77.70752000000005
►  Mathikere‎ (1 C),13.023560006648097,77.55690996421356
"►  Murugeshpalya‎ (4 C,  12 F)",12.954269998219928,77.6531900361428
►  Nagarbhavi‎ (1 C),12.984639980357443,77.51083003241143
►  Rajajinagar‎ (3 C),12.984580007840222,77.55575996709791
"►  Rajarajeshwari Nagar, Bangalore‎ (1 C,  6 F)",12.905649343121205,77.50772802103938
"►  Ramamurthy Nagar‎ (1 C,  20 F)",13.009740008511457,77.6757699612881
►  Sahakara Nagar‎ (1 C),13.060950000333108,77.57397996148745
"►  Seetharampalya‎ (1 C,  14 F)",13.113200000000063,77.42463000000004
"►  Shivajinagar‎ (1 C,  19 F)",12.98720000000003,77.60401000000007
►  Thubarahalli‎ (97 F),12.953500000000076,77.72114000000005
►  Tippasandra‎ (1 C),12.885920020232874,77.55997002942485
"►  UB City‎ (2 C,  19 F)",12.987980001134787,77.60665002167536
"►  Ulsoor‎ (4 C,  3 F)",12.989080000000058,77.62795000000006
"►  Varthur‎ (6 C,  19 F)",12.990960019170757,77.65960998724199
"►  Whitefield, Bangalore‎ (4 C, 1 P, 22 F)",12.975978680562262,77.71031714200902
"►  Yelahanka‎ (1 C,  14 F)",12.990080003156365,77.6045999757967
"►  Yeshwantpur‎ (1 C,  6 F)",13.029550000000029,77.54022000000003
"►  Yeswanthpur‎ (1 C,  1 F)",13.029550000000029,77.54022000000003
